days,p(mpa),t/hr
0.108611,0.02,20.3752
2.22653,0.02,21.3456
2.3623,0.02,22.5593
2.98681,0.02,22.5593
3.0,0.02,29.75945
3.14973,0.023333333333333334,36.9596
3.8557,0.026666666666666665,37.2036
4.0,0.03,45.38005
4.07292,0.03666666666666667,53.5565
4.94182,0.043333333333333335,54.7768
5.0,0.05,46.356300000000005
5.05043,0.0475,37.9358
5.81071,0.045,38.1799
5.97362,0.0425,54.0446
6.0,0.04,54.3497
7.0,0.06,54.6548
8.0,0.05,54.959900000000005
8.1187,0.065,55.265
9.0,0.08,55.8752
9.96509,0.07500000000000001,56.4854
10.0,0.07,62.83125
10.3181,0.07250000000000001,69.1771
10.8068,0.07500000000000001,69.1771
10.9154,0.0775,79.1841
11.0,0.08,77.71965
11.2413,0.08499999999999999,76.2552
12.0,0.09,80.77055
12.7618,0.1,85.2859
13.0,0.11,86.9944
13.8479,0.10500000000000001,88.7029
14.0,0.1,96.26894999999999
14.0109,0.10666666666666667,103.835
14.4996,0.11333333333333333,101.151
15.0,0.12,104.324
15.8029,0.125,107.497
16.0,0.13,109.53066666666666
17.0,0.14,111.56433333333334
17.1334,0.14,113.598
18.0,0.14,117.015
18.301,0.14500000000000002,120.432
19.0,0.15,121.6525
19.0884,0.15,122.873
19.1699,0.15,130.195
20.0,0.15,130.9275
20.5004,0.1525,131.66
20.8534,0.155,129.707
20.9891,0.1575,0.0
21.0,0.16,0.0
22.0,0.08,0.0
23.0,0.04,0.0
24.0,0.03,0.0
25.0,0.01,0.0
25.9038,0.01,0.0
26.0,0.01,75.4705
26.0396,0.05500000000000001,150.941
27.0,0.1,147.036
27.723,0.12000000000000001,143.131
28.0,0.14,141.8618
29.0,0.16,140.5926
30.0,0.17,139.3234
31.0,0.17,138.0542
31.0357,0.17500000000000002,136.785
31.1171,0.18,168.271
31.796,0.185,162.169
32.0,0.19,167.90449999999998
32.0132,0.19333333333333333,173.64
32.5291,0.19666666666666668,169.247
33.0,0.2,170.7115
34.104,0.2,172.176
34.1854,0.2,173.62
34.8099,0.2,175.34
